1;48.0527807276;11.6593173929;610.1119
1;48.0527810886;11.6593164699;610.1075
1;48.0527823937;11.6593148526;610.1029
1;48.0527823851;11.6593134406;610.0986
1;48.0527824739;11.6593132286;610.0945
1;48.0527828446;11.6593130152;610.0903
1;48.0527830124;11.6593132669;610.0861
1;48.0527834133;11.6593129698;610.0819
1;48.0527838139;11.6593137026;610.0777
1;48.0527847689;11.659314856;610.07338
1;48.0527873231;11.6593123975;610.0748
1;48.0527879348;11.6593122239;610.0770
1;48.0527865819;11.6593134094;610.0796
1;48.0527863882;11.6593141292;610.0820
1;48.0527872685;11.6593137806;610.0841
1;48.0527836286;11.6593141891;610.0862
1;48.0527831131;11.6593149586;610.0886
1;48.0527846485;11.6593137069;610.0907
1;48.0527852329;11.6593134074;610.0928
1;48.0527844191;11.6593131496;610.0951
1;48.0527842535;11.6593130259;610.0974
1;48.0527840683;11.6593127804;610.0996
1;48.052783712;11.6593124926;610.10184
1;48.0527841521;11.6593121472;610.1039
1;48.0527857177;11.6593107079;610.1058
1;48.0527859624;11.6593099725;610.1079
1;48.0527868365;11.6593098811;610.1101
1;48.0527872025;11.6593101381;610.1124
1;48.0527869005;11.6593111162;610.1145
1;48.0527863941;11.6593134762;610.1172
1;48.0527849359;11.65931439;610.119748
1;48.0527844412;11.6593159403;610.1221
1;48.0527854755;11.6593172;610.124421
1;48.0527865397;11.6593159856;610.1308
1;48.0527825998;11.659319436;610.13730
1;48.0527835852;11.6593187664;610.1437
1;48.0527885088;11.6593192124;610.1496
1;48.0527883051;11.6593200069;610.1564
1;48.0527889567;11.6593198521;610.1629
1;48.0527896146;11.6593195687;610.1693
1;48.0527896774;11.6593199577;610.1757
1;48.0527891031;11.6593212018;610.1822
1;48.0527881413;11.6593226962;610.1891
1;48.0527884751;11.6593245651;610.1954
1;48.0527886647;11.6593243841;610.2017
1;48.0527890625;11.659325338;610.20799
1;48.0527890359;11.6593266669;610.2143
1;48.0527888338;11.6593283165;610.2208
1;48.0527888771;11.6593286176;610.2271
1;48.0527887275;11.6593283271;610.2335
1;48.0527914345;11.6593312206;610.2338
1;48.0527914773;11.6593311274;610.2337
1;48.0527925699;11.6593306785;610.2337
1;48.0527929295;11.6593308869;610.2336
1;48.0527930363;11.659330882;610.23358
1;48.0527922167;11.6593280245;610.2329
1;48.0527949921;11.659324777;610.23229
